																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
29	32-A321	VJ874	DAD-ICN	15:30	21:45	4:15	1:00	1234567	31/Mar	26/Oct								
29	32-A321	VJ875	ICN-DAD	22:45	1:25	4:40		1234567	31/Mar	26/Oct								
																		
																		
30	33-A321	VJ930	HAN-KIX	7:55	14:30	4:30	1:00	1234567	31/Mar	26/Oct								
30	33-A321	VJ931	KIX-HAN	15:30	18:30	5:00	0:30	1234567	31/Mar	26/Oct								
30	33-A321	VJ527	HAN-DAD	19:10	20:30	1:20	0:25	1234567	1/Jun	26/Oct								
30	33-A321	VJ530	DAD-HAN	20:55	22:15	1:20	0:30	1234567	1/Jun	26/Oct								
																		
																		
31	34-A321	VJ897	SGN-DPS	9:45	14:30	3:50	1:00	1234567	31/Mar	26/Oct								
31	34-A321	VJ898	DPS-SGN	15:30	18:20	3:50	0:30	1234567	31/Mar	26/Oct								
31	34-A321	VJ1811	SGN-COK	19:20	22:50	3:30	1:00	1356	31/Mar	26/Oct								
31	34-A321	VJ1812	COK-SGN	23:50	6:40	6:50	0:30	1356	31/Mar	26/Oct								
31	34-A321	VJ250	SGN-THD	19:15	21:15	2:00	0:25	1234567	31/Mar	26/Oct								
31	34-A321	VJ251	THD-SGN	21:40	23:40	2:00	0:30	1234567	31/Mar	26/Oct								
																		
																		
32	35-A321	VJ893	SGN-DPS	8:15	13:05	3:50	1:00	1234567	31/Mar	26/Oct								
32	35-A321	VJ894	DPS-SGN	14:05	16:55	3:50	0:30	1234567	31/Mar	26/Oct								
32	35-A321	VJ1805	SGN-AMD	19:10	22:50	3:40	1:00	1234567	31/Mar	26/Oct								
32	35-A321	VJ1806	AMD-SGN	23:50	6:30	6:40	0:30	1234567	31/Mar	26/Oct								
																		
																		
33	36-A321	VJ868	SGN-PUS	0:55	7:45	4:50	1:00	1234567	31/Mar	26/Oct								
33	36-A321	VJ869	PUS-SGN	8:45	12:00	5:15	0:30	1234567	31/Mar	26/Oct								
33	36-A321	VJ842	SGN-TPE	13:30	18:00	3:30	1:00	1234567	31/Mar	26/Oct								
33	36-A321	VJ843	TPE-SGN	19:00	21:25	3:25	0:30	1234567	31/Mar	26/Oct								
																		
																		
34	37-A321	VJ862	SGN-ICN	2:35	9:40	5:05	2:00	1234567	31/Mar	26/Oct								
34	37-A321	VJ863	ICN-SGN	11:40	14:55	5:15	0:40	1234567	31/Mar	26/Oct								
34	37-A321	VJ148	SGN-HAN	15:35	17:45	2:10	0:30	1234567	31/Mar	26/Oct								
34	37-A321	VJ155	HAN-SGN	18:15	20:25	2:10	0:30	1234567	31/Mar	26/Oct								
																		
																		
35	38-A321	VJ822	SGN-NRT	23:20	7:40	6:20	1:15	1234567	31/Mar	26/Oct								
35	38-A321	VJ823	NRT-SGN	8:55	12:55	6:00	0:40	1234567	31/Mar	26/Oct								
35	38-A321	VJ140	SGN-HAN	13:35	15:45	2:10	1:00	1234567	31/Mar	26/Oct								
35	38-A321	VJ149	HAN-SGN	16:45	18:55	2:10	1:00	1234567	31/Mar	26/Oct								
																		
																		
36	39-A321	VJ899	SGN-DPS	6:55	11:50	3:50	1:20	1234567	31/Mar	26/Oct								
36	39-A321	VJ900	DPS-HAN	13:10	17:20	5:15	0:30	1234567	31/Mar	26/Oct								
36	39-A321	VJ1925	HAN-AMD	19:45	23:10	3:25	1:00	2467	31/Mar	26/Oct								
36	39-A321	VJ1926	AMD-HAN	0:10	5:55	5:45	0:30	1357	1/Apr	26/Oct								
36	39-A321	VJ907	HAN-BOM	20:05	23:40	4:40		135	31/Mar	26/Oct								
36	39-A321	VJ910	BOM-HAN	0:40	7:40	4:50	0:30	246	31/Mar	26/Oct								
																		
																		
37	40-A321	VJ182	SGN-HAN	5:00	7:10	2:10	0:30	1234567	5/Apr	26/Oct								
37	40-A321	VJ997	HAN-DPS	10:05	16:25	5:20		1234567	31/Mar	26/Oct								
37	40-A321	VJ998	DPS-HAN	17:30	21:45	5:15	0:40	1234567	31/Mar	26/Oct								
37	40-A321	VJ183	HAN-SGN	22:25	0:35	2:10	0:30	1234567	5/Apr	26/Oct								
																		
																		
38	41-A321	VJ962	HAN-ICN	23:15	5:30	4:15	0:55	1234567	31/Mar	26/Oct								
38	41-A321	VJ963	ICN-HAN	6:25	8:55	4:30	0:30	1234567	31/Mar	26/Oct								
38	41-A321	VJ901	HAN-BKK	11:10	13:00	1:50	1:00	1234567	31/Mar	26/Oct								
38	41-A321	VJ902	BKK-HAN	14:00	15:50	1:50	0:30	1234567	31/Mar	26/Oct								
38	41-A321	VJ913	HAN-SAI	16:25	18:05	1:40	1:00	1357	31/Mar	26/Oct								
38	41-A321	VJ914	SAI-HAN	19:05	20:50	1:45	0:30	1357	31/Mar	26/Oct								
38	41-A321	VJ467	HAN-VCA	16:55	19:05	2:10	0:25	246	31/Mar	26/Oct								
38	41-A321	VJ466	VCA-HAN	19:30	21:40	2:10	0:30	246	31/Mar	26/Oct								
																		
																		
39	42-A321	VJ982	HAN-PUS	1:00	7:00	4:30	1:00	1234567	31/Mar	26/Oct								
39	42-A321	VJ981	PUS-HAN	8:00	10:30	4:30	0:40	1234567	31/Mar	26/Oct								
39	42-A321	VJ567	HAN-HUI	11:10	12:25	1:15	0:25	1234567	31/Mar	26/Oct								
39	42-A321	VJ566	HUI-HAN	12:50	14:05	1:15	0:30	1234567	31/Mar	26/Oct								
39	42-A321	VJ781	HAN-CXR	14:35	16:25	1:50	0:25	1234567	31/Mar	26/Oct								
39	42-A321	VJ778	CXR-HAN	16:50	18:40	1:50	0:30	1234567	31/Mar	26/Oct								
																		
																		
40	43-A321	VJ938	HAN-KIX	1:20	7:50	4:30	1:30	1234567	31/Mar	26/Oct								
40	43-A321	VJ939	KIX-HAN	9:20	11:50	5:00	0:30	1234567	31/Mar	26/Oct								
40	43-A321	VJ942	HAN-TPE	14:25	18:00	2:55	1:00	1234567	31/Mar	26/Oct								
40	43-A321	VJ943	TPE-HAN	19:00	20:55	3:10	0:30	1234567	31/Mar	26/Oct								
																		
																		
41	44-A321	VJ565	HAN-HUI	5:35	6:45	1:15	0:25	1234567	30/May	26/Oct								
41	44-A321	VJ564	HUI-HAN	7:10	8:25	1:15	0:30	1234567	30/May	26/Oct								
41	44-A321	VJ915	HAN-SIN	9:35	13:55	3:20	1:00	1234567	31/Mar	26/Oct								
41	44-A321	VJ916	SIN-HAN	14:55	17:25	3:30	0:40	1234567	31/Mar	26/Oct								
41	44-A321	VJ407	HAN-DLI	18:05	19:55	1:50	0:25	1234567	31/Mar	26/Oct								
41	44-A321	VJ408	DLI-HAN	20:20	22:10	1:50	0:30	1234567	31/Mar	26/Oct								
NEW	44-A321	VJ1159	HAN-SGN	22:40	0:50	2:10	0:30	1234567	10/Jun	26/Oct								
NEW	44-A321	VJ1130	SGN-HAN	1:20	3:30	2:10	2:05	1234567	10/Jun	26/Oct								
																		
																		
42	45-A321	VJ958	HAN-FUK	1:50	8:05	4:15	1:10	246	31/Mar	26/Oct								
42	45-A321	VJ959	FUK-HAN	9:15	11:45	4:30	0:30	246	31/Mar	26/Oct								
42	45-A321	VJ920	HAN-NGO	1:40	8:00	4:55	1:25	1357	31/Mar	26/Oct								
42	45-A321	VJ921	NGO-HAN	9:25	12:50	5:25	0:30	1357	31/Mar	26/Oct								
42	45-A321	VJ946	HAN-KHH	14:35	18:00	2:25	1:00	1357	31/Mar	26/Oct								
42	45-A321	VJ947	KHH-HAN	19:00	20:35	2:35	0:30	1357	31/Mar	26/Oct								
42	45-A321	VJ948	HAN-RMQ	14:35	18:00	2:30	1:00	246	31/Mar	26/Oct								
42	45-A321	VJ949	RMQ-HAN	19:00	20:50	2:50	0:30	246	31/Mar	26/Oct								
																		
																		
43	46-A321	VJ934	HAN-NRT	7:55	15:30	5:30	1:00	1234567	31/Mar	26/Oct								
43	46-A321	VJ935	NRT-HAN	16:30	20:05	5:35	0:40	1234567	31/Mar	26/Oct								
43	46-A321	VJ531	HAN-DAD	20:45	22:05	1:20	0:25	1234567	1/Jun	26/Oct								
43	46-A321	VJ532	DAD-HAN	22:30	23:50	1:20	0:30	1234567	1/Jun	26/Oct								
																		
																		
44	47-A321	VJ960	HAN-ICN	1:40	7:55	4:15	3:10	1234567	31/Mar	26/Oct								
44	47-A321	VJ961	ICN-HAN	11:05	13:35	4:30	0:40	1234567	31/Mar	26/Oct								
44	47-A321	VJ459	HAN-PQC	14:15	16:20	2:05	0:25	1234567	31/Mar	26/Oct								
44	47-A321	VJ458	PQC-HAN	16:45	18:50	2:05	0:30	1234567	31/Mar	26/Oct								
																		
																		
45	48-A321	VJ932	HAN-NRT	0:30	8:00	5:30	1:30	1234567	31/Mar	26/Oct								
45	48-A321	VJ933	NRT-HAN	9:30	13:05	5:35	0:40	1234567	31/Mar	26/Oct								
45	48-A321	VJ141	HAN-SGN	13:45	15:55	2:10	0:30	1234567	31/Mar	26/Oct								
45	48-A321	VJ152	SGN-HAN	16:25	18:35	2:10	0:30	1234567	31/Mar	26/Oct								
																		
																		
46	49-A321	VJ878	DAD-ICN	23:45	6:00	4:15	1:00	1234567	31/Mar	26/Oct								
46	49-A321	VJ879	ICN-DAD	7:00	9:40	4:40	3:25	1234567	31/Mar	26/Oct								
46	49-A321	VJ973	DAD-SIN	13:05	16:55	2:40	1:00	1234567	31/Mar	26/Oct								
46	49-A321	VJ814	SIN-SGN	17:55	19:00	2:05	0:45	1234567	31/Mar	26/Oct								
NEW	49-A321	VJ252	SGN-THD	19:45	21:45	2:00	0:25	1234567	10/Jun	26/Oct								
NEW	49-A321	VJ253	THD-SGN	22:10	0:10	2:00	0:30	1234567	10/Jun	26/Oct								
																		
																		
47	50-A321	VJ880	DAD-ICN	22:45	5:00	4:15	1:15	1234567	31/Mar	26/Oct								
47	50-A321	VJ881	ICN-DAD	6:15	8:55	4:40	0:40	1234567	31/Mar	26/Oct								
47	50-A321	VJ625	DAD-SGN	9:35	11:00	1:25	0:30	1234567	31/Mar	26/Oct								
47	50-A321	VJ244	SGN-THD	11:30	13:30	2:00	0:25	1234567	31/Mar	26/Oct								
47	50-A321	VJ245	THD-SGN	13:55	15:55	2:00	0:30	1234567	31/Mar	26/Oct								
47	50-A321	VJ638	SGN-DAD	16:25	17:45	1:20	0:25	1234567	31/Mar	26/Oct								
																		
																		
48	51-A321	VJ988	DAD-PUS	2:55	9:00	4:05	1:00	1234567	31/Mar	26/Oct								
48	51-A321	VJ989	PUS-DAD	10:00	12:30	4:30	0:40	1234567	31/Mar	26/Oct								
48	51-A321	VJ726	HPH-DAD	13:10	14:25	1:15	0:25	1234567	31/Mar	26/Oct								
48	51-A321	VJ725	DAD-HPH	14:50	16:10	1:20	1:25	1234567	31/Mar	26/Oct								
48	51-A321	VJ966	DAD-HKG	17:35	20:20	1:45	1:00	1457	31/Mar	26/Oct								
48	51-A321	VJ967	HKG-DAD	21:20	22:10	1:45		1457	31/Mar	26/Oct								
48	51-A321	VJ966	DAD-HKG	17:35	20:20	1:45	1:00	236	2/Jul	26/Oct								
48	51-A321	VJ967	HKG-DAD	21:20	22:10	1:45		236	2/Jul	26/Oct								
48	51-A321	VJ508	DAD-HAN	10:55	12:15	1:20	0:30	236	1/May	1/Jul								
48	51-A321	VJ433	HAN-UIH	12:45	14:20	1:35	0:25	236	1/May	1/Jul								
48	51-A321	VJ434	UIH-HAN	14:45	16:25	1:40	0:30	236	1/May	1/Jul								
48	51-A321	VJ517	HAN-DAD	16:55	18:15	1:20	0:25	236	1/May	1/Jul								
																		
																		
49	52-A321	VJ838	CXR-ICN	16:05	22:45	4:40	3:05	1234567	31/Mar	26/Oct								
49	52-A321	VJ839	ICN-CXR	1:50	4:40	5:10	1:50	1234567	31/Mar	26/Oct								
49	52-A321	VJ794	CXR-VII	6:30	8:05	1:35	0:25	1357	31/Mar	26/Oct								
49	52-A321	VJ795	VII-CXR	8:30	10:05	1:35	0:25	1357	31/Mar	26/Oct								
49	52-A321	VJ792	CXR-THD	6:10	7:55	1:45	0:25	246	31/Mar	26/Oct								
49	52-A321	VJ793	THD-CXR	8:20	10:05	1:45	0:25	246	31/Mar	26/Oct								
49	52-A321	VJ734	CXR-HPH	10:30	12:15	1:45	0:25	1234567	31/Mar	26/Oct								
49	52-A321	VJ733	HPH-CXR	12:40	14:25	1:45	0:25	1234567	31/Mar	26/Oct								
																		
																		
50	53-A321	VJ836	CXR-ICN	21:50	4:30	4:40	1:45	1234567	31/Mar	26/Oct								
50	53-A321	VJ837	ICN-CXR	6:15	9:05	5:10		1234567	31/Mar	26/Oct								
																		
																		
51	54-A321	VJ834	CXR-ICN	23:05	5:45	4:40	1:05	1234567	31/Mar	26/Oct								
51	54-A321	VJ835	ICN-CXR	6:50	9:40	5:10		1234567	31/Mar	26/Oct								
																		
																		
52	55-A321	VJ990	CXR-PUS	0:50	7:30	4:40	1:00	1234567	1/Apr	26/Oct								
52	55-A321	VJ991	PUS-CXR	8:30	11:10	4:40		1234567	1/Apr	26/Oct								
																		
																		
53	56-A321	VJ926	HPH-ICN	23:55	6:15	4:45	1:00	1234567	31/Mar	26/Oct								
53	56-A321	VJ925	ICN-HPH	7:15	9:55	4:25	0:40	1234567	31/Mar	26/Oct								
53	56-A321	VJ767	HPH-PQC	10:35	12:40	2:05	0:25	1357	31/Mar	26/Oct								
53	56-A321	VJ768	PQC-HPH	13:05	15:10	2:05	0:25	1357	31/Mar	26/Oct								
53	56-A321	VJ693	HPH-DLI	15:35	17:20	1:45	0:25	1357	31/Mar	26/Oct								
53	56-A321	VJ692	DLI-HPH	17:45	19:30	1:45	0:25	1357	31/Mar	26/Oct								
53	56-A321	VJ731	HPH-CXR	11:00	12:45	1:45	0:25	246	31/Mar	26/Oct								
53	56-A321	VJ732	CXR-HPH	13:10	14:55	1:45	0:25	246	31/Mar	26/Oct								
53	56-A321	VJ671	HPH-BMV	15:20	17:00	1:40	0:25	246	31/Mar	31/May								
53	56-A321	VJ670	BMV-HPH	17:25	19:05	1:40	0:25	246	31/Mar	31/May								
																		
																		
54	57-A321	VJ978	PQC-ICN	18:00	1:25	5:25	1:00	1234567	31/Mar	26/Oct								
54	57-A321	VJ979	ICN-PQC	2:25	5:50	5:35	2:30	1234567	31/Mar	26/Oct								
54	57-A321	VJ844	PQC-TPE	8:20	13:00	4:40	1:10	1234567	31/Mar	26/Oct								
54	57-A321	VJ845	TPE-PQC	14:10	16:50	2:20		1234567	31/Mar	26/Oct								
																		
																		
55	58-A321	VJ457	HAN-PQC	12:15	14:20	2:05	0:25	1234567	31/Mar	26/Oct								
55	58-A321	VJ974	PQC-ICN	15:20	22:45	5:25	3:00	1234567	31/Mar	26/Oct								
55	58-A321	VJ975	ICN-PQC	1:45	5:10	5:35	2:45	1234567	31/Mar	26/Oct								
55	58-A321	VJ450	PQC-HAN	7:55	10:00	2:05	0:30	1234567	31/Mar	26/Oct								
																		
																		
56	59-A321	VJ968	PQC-PUS	23:30	6:30	7:00	1:05	1234567	31/Mar	26/Oct								
56	59-A321	VJ969	PUS-PQC	7:35	11:00	3:25	0:55	1234567	31/Mar	26/Oct								
56	59-A321	VJ986	PQC-HKG	11:55	15:40	2:45	1:00	246	31/Mar	26/Oct								
56	59-A321	VJ985	HKG-PQC	16:40	18:25	2:45		246	31/Mar	26/Oct								
56	59-A321	VJ846	PQC-TPE	9:50	14:30	2:45	1:00	1357	1/Jul	25/Oct								
56	59-A321	VJ847	TPE-PQC	16:00	18:40	2:45		1357	1/Jul	25/Oct								
56	59-A321	VJ336	PQC-SGN	11:55	13:00	1:05	0:30	1357	31/Mar	26/Oct								
56	59-A321	VJ337	SGN-PQC	20:15	21:15	1:00	0:25	1357	31/Mar	26/Oct								
																		
																		
57	60-A321	VJ518	DAD-HAN	6:20	7:40	1:20	0:30	1234567	30/May	26/Oct								
57	60-A321	VJ929	HAN-CGK	8:40	13:00	4:15	1:00	1234567	31/Mar	26/Oct								
57	60-A321	VJ928	CGK-HAN	14:00	18:15	4:15	0:40	1234567	31/Mar	26/Oct								
57	60-A321	VJ509	HAN-DAD	18:55	20:15	1:20	0:25	1234567	31/Mar	26/Oct								
57	60-A321	VJ510	DAD-HAN	20:40	22:00	1:20	0:30	1234567	31/Mar	26/Oct								
57	60-A321	VJ519	HAN-DAD	22:30	23:50	1:20	0:25	1234567	30/May	26/Oct								
																		
																		
58	61-A321	VJ503	HAN-DAD	6:25	7:45	1:20	0:25	1234567	31/Mar	26/Oct								
58	61-A321	VJ506	DAD-HAN	8:10	9:30	1:20	0:30	1234567	31/Mar	26/Oct								
58	61-A321	VJ455	HAN-PQC	10:00	12:05	2:05	0:25	1234567	31/Mar	26/Oct								
58	61-A321	VJ456	PQC-HAN	12:30	14:35	2:05	0:30	1234567	31/Mar	26/Oct								
58	61-A321	VJ903	HAN-BKK	15:45	17:45	1:50	1:00	1234567	9/Apr	26/Oct								
58	61-A321	VJ904	BKK-HAN	18:45	20:25	1:50	0:40	1234567	9/Apr	26/Oct								
58	61-A321	VJ523	HAN-DAD	21:05	22:25	1:20	0:30	1234567	9/Apr	26/Oct								
58	61-A321	VJ526	DAD-HAN	22:55	0:15	1:20	0:30	1234567	9/Apr	26/Oct								
																		
																		
59	62-A321	VJ262	SGN-VDH	7:25	9:00	1:35	0:25	1234567	31/Mar	26/Oct								
59	62-A321	VJ261	VDH-SGN	9:25	11:00	1:35	0:30	1234567	31/Mar	26/Oct								
59	62-A321	VJ602	SGN-CXR	11:30	12:40	1:10	0:25	1234567	31/Mar	26/Oct								
59	62-A321	VJ603	CXR-SGN	13:05	14:10	1:05	0:30	1234567	31/Mar	26/Oct								
59	62-A321	VJ1831	SGN-VTE	15:50	17:45	1:05	1:00	1357	31/Mar	26/Oct								
59	62-A321	VJ1832	VTE-SGN	18:45	20:45	1:05	0:40	1357	31/Mar	26/Oct								
59	62-A321	VJ1316	SGN-HUI	21:25	22:50	1:25	0:25	1234567	9/Apr	26/Oct								
59	62-A321	VJ1317	HUI-SGN	23:15	0:40	1:25	0:30	1234567	9/Apr	26/Oct								
																		
																		
60	63-A321	VJ622	SGN-DAD	7:05	8:25	1:20	0:25	1234567	31/Mar	26/Oct								
60	63-A321	VJ623	DAD-SGN	8:50	10:15	1:25	0:30	1234567	31/Mar	26/Oct								
60	63-A321	VJ372	SGN-VCL	10:45	12:05	1:20	0:25	1234567	31/Mar	26/Oct								
60	63-A321	VJ373	VCL-SGN	12:30	13:50	1:20	0:25	1234567	31/Mar	26/Oct								
60	63-A321	VJ378	SGN-VCL	18:00	19:20	1:20	0:25	1234567	31/Mar	26/Oct								
60	63-A321	VJ379	VCL-SGN	19:45	21:05	1:20	0:30	1234567	31/Mar	26/Oct								
60	63-A321	VJ3900	SGN-PVG	19:45	0:55	5:10	1:00	1234567	31/Mar	26/Oct								
60	63-A321	VJ3901	PVG-SGN	1:55	5:40	3:45	0:30	1234567	31/Mar	26/Oct								
																		
																		
61	64-A321	VJ89	SGN-PER	17:15	1:00	7:45	16:15	15	31/Mar	5/Apr								
61	64-A321	VJ89	PER-ADL	2:00	7:30	5:30	1:00	26	1/Apr	6/Apr								
61	64-A321	VJ80	ADL-PER	8:30	10:30	2:00	0:50	26	1/Apr	6/Apr								
61	64-A321	VJ80	PER-SGN	11:20	16:50	5:30	0:30	2	1/Apr	6/Apr								
61	64-A321	VJ80	PER-SGN	11:20	16:50		0:30	6	1/Apr	6/Apr								
61	64-A321	VJ89	SGN-PER	17:15	1:00		16:15	15	8/Apr	4/Oct								
61	64-A321	VJ89	PER-ADL	2:00	6:30		1:00	26	9/Apr	5/Oct								
61	64-A321	VJ80	ADL-PER	7:30	10:30		0:50	26	9/Apr	5/Oct								
61	64-A321	VJ80	PER-SGN	11:20	16:50		0:30	26	9/Apr	5/Oct								
61	64-A321	VJ89	SGN-PER	17:15	1:00			15	7/Oct	25/Oct								
61	64-A321	VJ89	PER-ADL	2:00	7:30		1:00	26	8/Oct	26/Oct								
61	64-A321	VJ80	ADL-PER	8:30	10:30		0:50	26	8/Oct	26/Oct								
61	64-A321	VJ80	PER-SGN	11:20	16:50		0:30	26	8/Oct	26/Oct								
61	64-A321	VJ91	SGN-PER	23:50	7:35	7:45	1:05	467	31/Mar	26/Oct								
61	64-A321	VJ92	PER-SGN	8:40	14:25	5:45	0:30	157	1/Apr	20/May								
																		
																		
62	65-A330	VJ81	SGN-MEL	11:20	23:35		1:55	23467	31/Mar	6/Apr								
62	65-A330	VJ82	MEL-SGN	1:30	6:05		1:00	13457	1/Apr	7/Apr								
62	65-A330	VJ81	SGN-MEL	11:20	22:35		1:55	23467	7/Apr	5/Oct								
62	65-A330	VJ82	MEL-SGN	0:30	6:05		1:00	13457	8/Apr	6/Oct								
62	65-A330	VJ81	SGN-MEL	11:15	23:35		1:55	23467	6/Oct	26/Oct								
62	65-A330	VJ82	MEL-SGN	1:30	6:05		1:00	13457	7/Oct	27/Oct								
																		
																		
63	66-A330	VJ85	SGN-SYD	19:55	8:20		2:55	12456	31/Mar	5/Apr								
63	66-A330	VJ86	SYD-SGN	11:15	16:10		1:00	23567	1/Apr	6/Apr								
63	66-A330	VJ85	SGN-SYD	19:55	7:20		2:55	12456	6/Apr	2/Jun								
63	66-A330	VJ86	SYD-SGN	10:15	16:05		1:00	23567	7/Apr	3/Jun								
63	66-A330	VJ85	SGN-SYD	19:55	7:20		2:55	12457	3/Jun	4/Oct								
63	66-A330	VJ86	SYD-SGN	10:15	16:05		1:00	12356	4/Jun	5/Oct								
63	66-A330	VJ85	SGN-SYD	19:55	8:20		2:55	12457	5/Oct	26/Oct								
63	66-A330	VJ86	SYD-SGN	11:15	16:05		1:00	12356	6/Oct	27/Oct								
																		
																		
64	67-A330	VJ83	SGN-BNE	10:40	21:55		1:35	135	31/Mar	26/Oct								
64	67-A330	VJ84	BNE-SGN	23:30	5:00		1:00	135	31/Mar	26/Oct								
64	67-A330	VJ83	SGN-BNE	10:40	21:55		1:35	46	31/Mar	26/Oct								
64	67-A330	VJ84	BNE-SGN	23:30	5:00		1:00	46	31/Mar	26/Oct								
64	67-A330	VJ883	SGN-BOM	20:05	23:40	5:00	7:00	7	31/Mar	26/Oct								
64	67-A330	VJ884	BOM-SGN	0:40	7:40	5:20	1:00	1	31/Mar	26/Oct								
64	67-A330	VJ168	SGN-HAN	6:40	8:50	2:10	1:00	27	31/Mar	26/Oct								
64	67-A330	VJ169	HAN-SGN	9:50	12:00	2:10	1:00	27	31/Mar	26/Oct								
64	67-A330	VJ174	SGN-HAN	13:00	15:10	2:10	1:00	2	31/Mar	26/Oct								
64	67-A330	VJ175	HAN-SGN	16:10	18:20	2:10	1:00	2	31/Mar	26/Oct								
																		
																		
65	68-A330	VJ172	SGN-HAN	12:10	14:10	2:10	1:00	1234567	31/Mar	26/Oct								
65	68-A330	VJ173	HAN-SGN	15:10	17:20	2:10	1:00	1234567	31/Mar	26/Oct								
65	68-A330	VJ883	SGN-BOM	20:05	23:40	5:00	0:25	246	31/Mar	26/Oct								
65	68-A330	VJ884	BOM-SGN	0:40	7:40	5:20	1:00	357	31/Mar	26/Oct								
65	68-A330	VJ895	SGN-DEL	19:25	22:55	4:50	1:10	1357	31/Mar	26/Oct								
65	68-A330	VJ896	DEL-SGN	0:05	6:35	5:10	1:00	1246	31/Mar	26/Oct								
																		
																		
66	69-A330	VJ61	CXR-ALA	18:00	23:35		8:25	135	31/Mar	25/Oct								
66	69-A330	VJ62	ALA-CXR	1:05	10:20		1:30	246	31/Mar	26/Oct								
66	69-A330	VJ67	CXR-NQZ	12:40	18:55		1:30	47	31/Mar	24/Oct								
66	69-A330	VJ68	NQZ-CXR	20:25	6:15		3:55	47	31/Mar	24/Oct								
66	69-A330	VJ784	CXR-HAN	10:10	12:00	1:50	1:00	26	31/Mar	26/Oct								
66	69-A330	VJ784	CXR-HAN	8:00	9:50	1:50	1:00	15	31/Mar	26/Oct								
66	69-A330	VJ785	HAN-CXR	14:55	16:45	1:50	1:00	135	31/Mar	26/Oct								
66	69-A330	VJ785	HAN-CXR	10:10	12:00	1:50	1:00	7	31/Mar	26/Oct								
66	69-A330	VJ177	HAN-SGN	7:20	9:30	2:10	1:00	3	31/Mar	26/Oct								
66	69-A330	VJ178	SGN-HAN	10:30	12:40	2:10	1:00	3	31/Mar	26/Oct								
66	69-A330	VJ971	HAN-DEL	19:40	22:55	4:20		26	31/Mar	26/Oct								
66	69-A330	VJ972	DEL-HAN	0:05	5:40	4:25	1:00	37	31/Mar	26/Oct								
																		
67	10-A320	VJ272	SGN-HPH	5:15	7:15	2:00	0:25	1234567	31/Mar	26/Oct								
67	10-A320	VJ271	HPH-SGN	7:40	9:40	2:00	0:30	1234567	31/Mar	26/Oct								
67	10-A320	VJ382	SGN-UIH	10:10	11:20	1:10	0:25	1234567	31/Mar	26/Oct								
67	10-A320	VJ383	UIH-SGN	11:45	12:50	1:05	0:40	1234567	31/Mar	26/Oct								
67	10-A320	VJ278	SGN-HPH	13:30	15:30	2:00	0:25	1234567	31/Mar	26/Oct								
67	10-A320	VJ277	HPH-SGN	15:55	17:55	2:00	0:30	1234567	31/Mar	26/Oct								
67	10-A320	VJ310	SGN-HUI	18:25	19:50	1:25	0:25	1234567	31/Mar	26/Oct								
67	10-A320	VJ311	HUI-SGN	20:15	21:40	1:25	0:30	1234567	31/Mar	26/Oct								
67	10-A320	VJ1624	SGN-DAD	22:10	23:30	1:20	0:25	1234567	31/Mar	26/Oct								
67	10-A320	VJ1625	DAD-SGN	23:55	1:20	1:25	0:35	1234567	31/Mar	26/Oct								
																		
																		
68	11-A320	VJ300	SGN-HUI	6:30	7:55	1:25	0:25	1234567	31/Mar	26/Oct								
68	11-A320	VJ301	HUI-SGN	8:20	9:45	1:25	0:30	1234567	31/Mar	26/Oct								
68	11-A320	VJ325	SGN-PQC	10:15	11:15	1:00	0:25	1234567	31/Mar	26/Oct								
68	11-A320	VJ326	PQC-SGN	11:40	12:45	1:05	0:40	1234567	31/Mar	26/Oct								
68	11-A320	VJ630	SGN-DAD	13:25	14:45	1:20	0:25	1234567	31/Mar	26/Oct								
68	11-A320	VJ631	DAD-SGN	15:10	16:35	1:25	0:30	1234567	31/Mar	26/Oct								
68	11-A320	VJ248	SGN-THD	17:05	19:05	2:00	0:25	1234567	31/Mar	26/Oct								
68	11-A320	VJ249	THD-SGN	19:30	21:30	2:00	0:30	1234567	31/Mar	26/Oct								
68	11-A320	VJ1314	SGN-HUI	22:00	23:25	1:25	0:25	1234567	31/Mar	26/Oct								
68	11-A320	VJ1315	HUI-SGN	23:50	1:15	1:25	0:35	1234567	31/Mar	26/Oct								
																		
																		
69	12-A320	VJ620	SGN-DAD	5:35	6:55	1:20	0:25	1234567	31/Mar	26/Oct								
69	12-A320	VJ621	DAD-SGN	7:20	8:45	1:25	0:30	1234567	31/Mar	26/Oct								
69	12-A320	VJ298	SGN-DIN	9:15	11:25	2:10	0:25	1234567	31/Mar	26/Oct								
69	12-A320	VJ299	DIN-SGN	11:50	14:00	2:10	0:40	1234567	31/Mar	26/Oct								
69	12-A320	VJ264	SGN-VDH	14:40	16:15	1:35	0:25	1234567	31/Mar	26/Oct								
69	12-A320	VJ263	VDH-SGN	16:40	18:15	1:35	0:30	1234567	31/Mar	26/Oct								
69	12-A320	VJ642	SGN-DAD	18:45	20:05	1:20	0:25	1234567	24/May	26/Oct								
69	12-A320	VJ643	DAD-SGN	20:30	21:55	1:25	0:30	1234567	24/May	26/Oct								
69	12-A320	VJ1122	SGN-HAN	22:25	0:35	2:10	0:35	1234567	31/Mar	26/Oct								
																		
																		
70	70-A330	VJ122	SGN-HAN	7:00	9:10	2:10	1:00	1234567	31/Mar	26/Oct								
