																		
NO	AC	FLIGHT N0	ROUTE	STD	STA	BLOCK	TAT	FREQ	FROM	TO								
6	6-A320	VJ274	SGN-HPH	9:30	11:30	2:00	0:25	1234567	31/Mar	26/Oct								
6	6-A320	VJ273	HPH-SGN	11:55	13:55	2:00	0:40	1234567	31/Mar	26/Oct								
6	6-A320	VJ376	SGN-VCL	14:35	15:55	1:20	0:25	1234567	31/Mar	26/Oct								
6	6-A320	VJ377	VCL-SGN	16:20	17:40	1:20	0:30	1234567	31/Mar	26/Oct								
6	6-A320	VJ282	SGN-HPH	18:10	20:10	2:00	0:25	1234567	31/Mar	26/Oct								
6	6-A320	VJ283	HPH-SGN	20:35	22:35	2:00	0:30	1234567	31/Mar	26/Oct								
6	6-A320	VJ1620	SGN-DAD	23:05	0:25	1:20	0:25	1234567	31/Mar	26/Oct								
																		
																		
7	7-A320	VJ210	SGN-VII	5:55	7:45	1:50	0:25	1234567	31/Mar	26/Oct								
7	7-A320	VJ213	VII-SGN	8:10	10:00	1:50	0:30	1234567	31/Mar	26/Oct								
7	7-A320	VJ304	SGN-HUI	10:30	11:55	1:25	0:25	1234567	31/Mar	26/Oct								
7	7-A320	VJ305	HUI-SGN	12:20	13:45	1:25	0:40	1234567	31/Mar	26/Oct								
7	7-A320	VJ216	SGN-VII	14:25	16:15	1:50	0:25	1234567	31/Mar	26/Oct								
7	7-A320	VJ217	VII-SGN	16:40	18:30	1:50	0:30	1234567	31/Mar	26/Oct								
7	7-A320	VJ284	SGN-HPH	19:00	21:00	2:00	0:25	1234567	24/May	26/Oct								
7	7-A320	VJ285	HPH-SGN	21:25	23:25	2:00	0:30	1234567	24/May	26/Oct								
NEW	7-A320	VJ1288	SGN-HPH	23:55	1:15	1:20	0:25	1234567	10/Jun	26/Oct								
NEW	7-A320	VJ1289	HPH-SGN	1:40	3:05	1:25	2:50	1234567	10/Jun	26/Oct								
																		
																		
8	8-A320	VJ1623	DAD-SGN	5:10	6:35	1:25	0:35	1234567	31/Mar	26/Oct								
8	8-A320	VJ230	SGN-VDO	7:05	9:25	2:20	0:25	357	31/Mar	26/Oct								
8	8-A320	VJ231	VDO-SGN	9:50	12:05	2:15	0:30	357	31/Mar	26/Oct								
8	8-A320	VJ288	SGN-HPH	7:05	9:05	2:00	0:25	1246	31/Mar	26/Oct								
8	8-A320	VJ289	HPH-SGN	9:30	11:30	2:00	0:30	1246	31/Mar	26/Oct								
8	8-A320	VJ327	SGN-PQC	12:35	13:35	1:00	0:25	1234567	31/Mar	26/Oct								
8	8-A320	VJ328	PQC-SGN	14:00	15:05	1:05	0:40	1234567	31/Mar	26/Oct								
8	8-A320	VJ634	SGN-DAD	15:45	17:05	1:20	0:25	1234567	31/Mar	26/Oct								
8	8-A320	VJ635	DAD-SGN	17:30	18:55	1:25	0:30	1234567	31/Mar	26/Oct								
